question,answer
How do I post a message?,"To post a message: Go to the board where you want to post. Click the New Message link. In the Subject field, enter your message title. Tip: Make your subject clear and concise, as it's the only part of the message that shows up on the message-listing page. In the Body field, type your message. Be sure to include all necessary details, especially for technical topics. Format and spell check your message, as needed. Click Submit Post."
How do I reply to a message?,"Click Reply to respond to a particular post. The Reply Message screen is similar to the Post Message screen, with these differences: When you reply to a post, the subject line is filled in automatically. You can change it if you want. You can paste the message to which you are replying into the body of your reply by clicking Quote Message. Your reply is added to the existing thread. It won't create a new thread."
"Can I create ""canned"" or ""boilerplate"" responses?","Yes. You can use macros to create boilerplate text that you can paste into any message. You can create up to 9 macros. To set up a macro for boilerplate text: Sign in to the community. Go to My Settings > Macros. Enter a short but memorable name in the Macro Title field. In the Macro box, enter your boilerplate text. (You can use HTML tags if your community allows it.) Click Save. Tip: To add text at the bottom of your posts, you can include that text as part of your signature instead of using a macro. To add your boilerplate text to a post: Go to a post. In the comment area, place your cursor where you want to add the boilerplate text. Open the Macros menu and select the macro you want to add."
How do I translate a post or reply?,"To translate: Navigate to the Post or Reply Click on the ""Translate"" link near the bottom of the Post body Select the language you would like the post translated to Click the ""Go"" link The translation should appear below the original content"
How do I use bookmarks?,"Bookmarks enable you to list community content (boards, articles, ideas, topics, or individual posts) on a special page so you can easily find it again. To bookmark a piece of content: Go to the item you want to bookmark. To bookmark a location, choose (Location) Options > Bookmark. To bookmark a specific post, go to the post and choose (Post) Options > Bookmark. To view and manage your bookmarks: Go to My Settings > Subscriptions & Notifications. Click My Bookmarks. You can click a bookmark to go to the item. To delete a bookmark, click the check box for the bookmark and click Bookmark Options > Delete Selected Bookmarks."
How do I use subscriptions?,"Subscriptions let you get email updates whenever new content appears in an area of the community that you're interested in. You can subscribe to a board, a blog article, an idea exchange, or any other location in the community. You can also subscribe to a specific post. To subscribe a piece of content: Go to the item you want to subscribe to. To subscribe to a location, click (Location) Options > Subscribe. To subscribe to a specific post, go to the post and click (Post) Options > Subscribe To view and manage your subscriptions: Go to My Settings > Subscriptions & Notifications. Click My Subscriptions to see a list of the items you've subscribed to. You can click a subscription to go to the item. To delete a subscription, click the check box for the subscription and click Email Subscription Options > Delete Selected Subscriptions."
What is RSS and how do I use it?,"RSS stands for ""Really Simple Syndication."" It is a way for you to get the latest content from this community, along with many other sites that you visit, all in one place. With an RSS feed reader, you subscribe to web sites, and those sites feed you new content so you can stay up to date. To use RSS, you need a feed reader, such as Google Reader, MyYahoo, or the Live Bookmarks feature of Firefox. There are many free options. After you have your feed reader set up, you can find RSS feeds in the community by going to a board, blog, thread, or message and selecting Subscribe to RSS Feed from the options menu. There you will see a preview of the feed. Most RSS readers give you a button to click at this point. After you click it, the RSS feed appears in your reader as well as new content from that section of the community whenever it becomes available"
What's a blog?,"A blog is an online journal written by one or more authors. Blog articles usually appear in reverse-chronological order, so you see the most recent article first, followed by earlier articles. Some blogs have comments from readers, which you can read by clicking the Comments link at the bottom of the article."
How do I post a comment on a blog?,"Posting a comment on a blog is a lot like replying to a message on a board. If the blog is open for comments, you'll see a post a comment link or a comment count link at the bottom of the article. To post your comment: Click Comment or Post Your Comment. You can post a comment to an article or to someone else's comment. Type your comment in the comment area. You can use simple HTML and quote the article you're commenting on. Tip: Unless you have special permissions, you can't edit or delete a comment after it's posted, so be sure to preview your comment and spell check first. Click Post Your Comment. Some blogs display new comments almost immediately. Other blogs don't display new comments until the blog author or a moderator approves them."
Can I post a blog comment without registering or logging in?,"Yes, however, you must provide your name (which we'll show) and your email address (which we won't). You might also be able to enter a web site URL to display with your comment. Then, simply type your comment and click Post Your Comment."
"Where is my blog comment? I posted a comment, but don't see it.","Some blogs display new comments almost immediately. Other blogs don't display new comments until the blog author or a moderator approves them. If your comment doesn't appear immediately, check back in a few minutes. If it still doesn't appear, your comment is most likely in the approval queue."
Can I edit or delete my blog comments?,"No, you can't. Be sure to check your spelling and preview your comment before you post it."
How do I share a blog article with friends?,"To share blog articles with friend, you can use any shared bookmarking, social network, or other tracking service, such as Del.icio.us, Digg, Reddit, Facebook, MySpace, Google, StumbleUpon, Technorati, or Twitter. However, you must have a valid account with the service. To share a blog article: Go to the article you want to share. Click Bookmark. Click the service you want to use. The next steps depend on the service."
Can I subscribe to a blog?,"Yes. You can subscribe directly to a blog or an article, or you can subscribe to their RSS feeds. If you subscribe to an RSS feed, you can use an RSS reader to view new content that's added to the blog. If you subscribe directly to a blog or article, you receive an email alert when new articles or comments are posted. To	Do this Subscribe to a blog	Go to the blog page and click Blog Options > Subscribe. Subscribe to an article	Go to the article and click Article Options > Subscribe. Subscribe to an RSS feed    	Go to the blog or article and click Blog Options > Subscribe to RSS Feed. Then, save the live bookmark or whatever you usually do to add an RSS feed."
What's a Permalink?,"A permalink, short for permanent link, is the URL for a specific blog article. In an active blog with lots of entries, a particular article stays on the blog's front page for a short period of time. It becomes hard to bookmark a specific blog article or to email a link when the article you want is replaced with something new. This is where permalinks come in handy. They take you directly to an article, rather than to the blog's front page, which typically shows only the last few articles. To use a permalink: Click Permalink at the bottom of a blog article. Copy the URL that appears in your browser's navigation toolbar. Paste the link wherever you need it."
How do I upload images?,"Depending on your starting point, you choose one or more images, choose the album where they'll be located, and upload. There are size limitations, of course, and a community moderator must approve your images before others can see them. You can upload images from: Your Albums and Images page Any of your individual Album pages Post Message, Answer, Comment, Article, and other Post pages"
How do I view images?,"You can view all photos and graphic files you upload to the community on your Albums and Images page. This page displays images in two ways: The Albums tab displays all of your image albums, including the default Public and Private albums that contain any images you might have already uploaded. You can create new albums when you upload images and move images between albums as needed. The All Images tab displays all of the images you have uploaded To view your images: Go to your profile page. A preview of your uploaded images appears on the right. Click View My Images. To view all the images in an album, click the album. Click an image to see more about it. To view all of your images, click All Images. To view another user's public images: Click the community member's user name to go to that user's profile page. A preview of that user's shared images appears on the right. Click View My Images."
How do I edit an image?,"You can change the name, add a description, and apply tags to an image, but you can't edit the actual image in the community. If you want to edit the image, you need to do that outside the community and upload the edited image. To edit information about an image: Go to your Albums and Images page. Open the album that contains the image you want and click it. Click Edit to change the image title, add a description, and enter tags. To display an image on the front of the album, click Use this image for the album cover. Click Save."
What are image albums?,"You use image albums to organize the photos and other graphics that you've uploaded to the community. By default, you start with two albums: Private and Public. Your community manager determines the number of albums you can create. To edit an image album: Go to your Albums and Images page. Choose an album. Edit the album name or description or change the privacy setting as needed. Click Save."
How do I comment on an image?,"To comment on an image: Go to the Albums and Images page of the image's owner. Open the album that contains the image you want to comment on and click the image. Click Kudos. (Optional) Click Add Tag, enter the tag, and click Add. Click in the comment editor, type your comment, and click Post Your Comment."
What is an image gallery and how do I view it?,"An image gallery is a collection of images that you or other community members have uploaded. Each community member who has permission to upload images has an image gallery. You can view your own image gallery as well as the image galleries of other community members. When you look at another user's gallery, you see the approved images that the user has chosen to share To view your image gallery: Go to your profile page. A preview of your image gallery appears on the right. Click View Image Gallery. To view another user's image gallery: Click the community member's user name to go to that user's profile page. A preview of that user's shared images appears on the right. Click View Image Gallery."
How do I use an uploaded image as my personal avatar?,You can use any approved image you've uploaded as your personal avatar. To use an uploaded image as your personal avatar: Sign in to the community. Go to My Settings > Avatars. Click From the Community or From Uploaded Images. Click the image to use as your personal avatar.
What is a private image?,"A private image is one that only you can see. Each time you upload an image, you can decide whether you want that image to appear in your image gallery. If you choose no, the image is private. Remember, a moderator must approve all uploaded images before your can use them in a post or display them in your gallery. To change the privacy setting for an image: In your gallery page, click the check box below the image you want to change. Click Image Options > Make All Checked Images Public or Private."
My friends can't see the images I've uploaded. Where are they?,"For your protection, your community requires a moderator to approve all uploaded images before they can be displayed. Although you can see your uploaded images that are awaiting approval or flagged for review, other community members who view your images can only see the ones that have been approved."
Who does GDPR apply to and why is it important?,"GDPR applies to any organization functioning within the European Union (EU), as well as any organizations functioning outside the EU that offer goods or services to customers or businesses within the EU. GDPR aims to ensure that the personal data of individuals is gathered legally with careful considerations to individual consent. It also requires organizations that collect and use personal data to ensure the safety of this data. It gives individuals greater control over deciding how their data must be collected, stored, or processed. If you elect to delete your PII information from this community, we will permanently anonymize your content contributions and attribute the content to an Anonymous User. The Anonymous User will have a standard username and a default avatar to distinguish itself from other users."
Can I delete any identifying information of devices I've used on the community?,"Yes. If GDPR is enabled on this community, you can opt to delete device-related information from your account, specifically the IP addresses which have been used by this account and the mobile device associated with the account. To delete information related to your devices: Sign in to the community. Open the user menu and click My Settings. Go to Personal > Personal Information. Scroll down to the Device Identifiers list. Click the Delete link next to the device information you want to delete. Note: If you delete your Device ID, you will no longer receive notifications from the community app to your mobile device. Notifications will be restored the next time you sign in to the community app."
Can I download my community content and personal information?,"Yes. When GDPR is enabled, you can opt to download your community content and personal information associated with your account for offline storage/reference. If you decide to leave the community, you can download this content before you close your account. To download your Community Content and Personal Information: Sign in to the community. Open the user menu and click My Settings. Go to Personal > Personal Information. Scroll to the bottom of the page and click one or both of the download links. Your file is downloaded to your desktop as a machine-readable .json file."
What is an Accepted Solution?,"An Accepted Solutions is a way for you to choose the reply that best answers a question that you've posted. When you accept a solution, both the question and the solution get special icons and links that take you directly from the question to the answer. An Accepted Solutions icon also appears on boards and in search results so you can see which messages have solutions. You can mark a solution as accepted only for questions that you've posted (you started the thread). Community moderators can also mark one of the replies to a message as an accepted solution"
How do I mark a message as a solution?,"To mark a message as a solution, click Accept as Solution on the reply. If you change your mind or if another reply provides an even better answer, you can revoke the first selection and accept the second reply. To revoke an accepted solution, click Options > Not the Solution. You can choose another solution or leave the question unsolved."
What are Kudos?,"Kudos is a content rating system that lets you vote for the messages you think are the most useful or important. When you give kudos to a message, you are giving a thumbs-up for good content and a pat on the back to its author. Your kudos help to boost the value of certain messages and enhance the reputation of their authors. Giving kudos is as easy as a single click, but the impact of kudos ripples across the community."
How do I give Kudos?,"You can give Kudos to any posts in the community except your own. To give kudos to a message and its author, click Kudos on the message. If you change your mind about the quality of the message, you can revoke your kudos. To revoke kudos you've given, click the Kudos button again."
How can I see who's given me Kudos?,"Want to know who thinks a message is good? It's easy to find out which regular community members and community experts have given kudos to a message. Kudos from community experts can carry more weight than those from brand new members. (Community administrators can choose to have kudos granted by experts carry more weight than kudos granted by regular members.) To see who's given you kudos: Go to the message page. Click the Kudos total. The Who Kudoed this Message page shows you all the community members who've given kudos to the message. Click Experts to see kudos given by high-ranking members of the community. Experts are usually moderators and other users who had a kudos weight of more than 1 when they gave the message kudos. Click the Date Kudoed, User ID, or or kudos link to sort this page by the date the kudos were given, the name of the user who gave kudos or by the kudos count."
How can I see which messages or authors have received the most Kudos?,"There are usually two kudos leaderboards on the community's front page -- one for authors and another for messages. The author's leaderboard shows who has received the most kudos. The message leaderboard showcases the most kudoed messages. Links from the front-page leaderboards take you to the full leaderboard pages. To view the Top Kudoed Messages leaderboard, click view all from the front page module. To view the Top Kudoed Authors leaderboard, click view all from the front page module."
How can I see who has given me kudos?,"To see who's given you kudos: Go to you profile page. Your Profile pages shows the names of community members who have given you kudos, the messages they kudoed, your top kudoed messages, and the kudos you've given. To see all of your recent kudos activity in an area, click view all. Click the tabs to see more info about your kudos activity."
What is Kudos weight?,"Your kudos weight is the number of kudos you give each time you click Kudos!. If you're new to the community, your kudos weight is probably 1 (each kudo counts as 1). More experienced community members might have a higher kudos weight, so they could give two kudos, ten kudos, or more each time they click."
Why can't I give Kudos to some messages?,"There are a few reasons why you might not be able to give Kudos to a post. You've already given Kudos to this message (you can only give them once). You wrote the message (you can't Kudo your own messages). Your community manager wants you to give Kudos only to a message that starts a thread and not to replies. Your community manager has turned Kudos off for a message or a forum. Your community manager has frozen Kudos for this message. You can still see how many Kudos the message has received, but you can't Kudo it any more."
Where did the Kudos number go?,"Sometimes a message gets so many kudos that we run out of space to show the number. When that happens, you'll see a Hot Kudos symbol or icon instead of the kudos count on the kudos badge."
What is a tag?,"A tag is a single keyword or phrase that describes the topic, theme, or subject of a post. You can add as many tags as you want and so can other community members. For example, in a post about a mouse, you might add these tags: mouse, USB mouse, optical mouse, wireless, DPI. Be sure to use commas between tags."
What is a tag cloud?,"A tag cloud displays tags used frequently within the community or within an area of the community. The more frequently a tag is used, the larger it appears in the tag cloud. By looking at a tag cloud, you can get a sense of what the hot topics are in a given area."
What can I do with tags?,"Tagging is a way to help other users discover interesting posts. It's also a way to organize content in the community that you think is related. When you apply tags to a post, you add to the value by providing another way for people to find it."
Why do people tag?,Some users will tag posts for their own convenience in finding them later. Other users enjoy helping categorize interesting posts for the benefit of the community. Users who tag lots of posts gain status by appearing on Tag Leaderboards.
How do I tag?,To add a tag: Navigate to an interesting post or comment. Click in the Add field and type your tags (separated by commas). Click Add Tag.
Where are my tags?,You can find messages you've tagged by visiting your profile and clicking the tag. You can also click on a tag on any cloud and look at the Most Tagged section.
What are labels?,"Labels are used within a community to help categorize articles in a variety of discussion styles; forums, blogs, Q&A, ideas, TKBs. Labels enable you to categorize the content you write based on the themes or content in the article. For example, in a support Q&A for troubleshooting connectivity issues with your smart phone, you might apply labels like ""iPhone"", ""Galaxy"", ""AT&T"", or ""Verizon"". Unlike tags, labels are created by the Community Admin and typically controlled for consistency and need. Authors must choose/apply labels from a pre-defined list for the node in which the article appears. Tags are more freeform and can be created by authors."
How do I add a label to my post?,"To add a label: Navigate to the post you authored. Open the post to edit it. In the Labels field, start typing the label or choose one from the list. If you add multiple labels, you must separate them with commas."
Who can create labels?,"Typically, only administrators or permissioned members can create new labels or edit the label list. When the use of labels is enforced, members must apply a label when submitting posts. Labels can be optionally predefined, giving administrators complete control over exactly which labels are used in their community. Labels are applied at node (board) level, so different settings can be applied at different boards. One board might be mandatory with a predefined pool of labels, while another can be completely optional and enable users to create their own labels."
How do I subscribe to a label?,"When you subscribe to a label, you will be notified by email when a new post is created with the label. To subscribe to a label: From a particular post with a label, click on the label to filter by that label. (You can also do this from the labels component.) Click Subscribe. Note:Your community users can configure their own subscription settings under My Settings > Subscriptions and Notifications > My Subscriptions and My Settings > Subscriptions and Notifications > Notification Settings. One thing to note about labels is that they are applied at node level. Thus, predefined labels and subscriptions to labels exist only at the node at which they are applied. For example, if you subscribe to a label named 'contest' at board 1, it will not automatically subscribe you to an identically named label at board 2. You will have to subscribe twice, once at each board. This also applies if you add a labels component to your page to display the most popular labels, these are also designed to work at node level."
